category,spotName,address,imageUrl,markerColor,description
A Relaxing Stress-Relief Getaway,水美食府,"No. 224, Guangming Rd, Beitou District, Taipei City, 112",https://example.com/nanchang_furniture.jpg,purple,"SweetMe Hotspring Resort is a next-gen physical and spiritual hot spring SPA located next to Beitou Park. SweetMe offers elegantly designed guest rooms with wooden furnishings to dispel the travelers’ exhaustion. The establishment is nestled in the trees and grasses, providing a milky white sulfur hot spring bath to ease away stress and tiredness as well as a famous banquet menu that dates back to the heyday of Beitou hot springs. A stay with SweetMe is to have a dialog with the natural world while taking a much-needed break from one’s busy schedule. SweetMe is the perfect place to appreciate the intricate beauty of Beitou."
A Relaxing Stress-Relief Getaway,北投齊雞,"No. 71, Xinshi Southreet., Beitou., Taipei City",https://example.com/nanchang_furniture.jpg,purple,The chicken used in Beitou Chicken are all free range raised in areas of Hualien and Taitung where there is less pollution and better water and air quality. Designated breeds and raising methods by designated chicken farms as well as rigorous execution and quality control all make the meat quality and tenderness of Beitou Chicken stand out from others on the market. These are characteristics of Beitou Chicken and one of the reasons for its success.
A Relaxing Stress-Relief Getaway,鬍鬚張北投光明店,"No. 210, Guangming Road., Beitou., Taipei City",https://example.com/nanchang_furniture.jpg,purple,"Founded in 1960, Formosa Chang started out selling braised pork rice at a roadside stall, and has since adhered to its founding manifesto, Promoting Gourmet Heritage and Pursuing Happiness. With a core mission of promoting Taiwan's gourmet food, Formosa Chang continues to strive for self-improvement and provides safe and delicious food and friendly dining environments, all built on the basis of quality, taste, service and hygiene. In line with its business philosophy: Integrity and Trust, Pursuit of Excellence, Customer Satisfaction, Sustainable Growth, and its management principles: people-oriented, talents-nurturing, clear reward punishment and shared results, Formosa Chang is committed to implementing its enterprise vision of selling braised pork rice all over the world."
A Relaxing Stress-Relief Getaway,少帥禪園,"No. 34, Youya Road., Beitou., Taipei City",https://example.com/nanchang_furniture.jpg,purple,"There are moving stories once embedded in the footprint of history. Marshal Zen Garden was built in the Japanese-colonized period of 1920's. It was known for its hot spring and was once used as an entertainment hub for the Japanese Kamikaze pilots during the end of World War II. In the 1960's, Marshal Zhang Xue-Liang and wife Zhao Di were confined here by General Chiang Kai-Sheik."
Tranquil Maokong: A Day of Nature Walks,山上咖啡,"No.33-7, Lane 38, Section 3, Zhinan Road, Wenshan, Taipei City",https://example.com/nanchang_furniture.jpg,blue,"Perched on Taipei's tranquil Wenshan, Mountain Coffee provides an idyllic escape from the urban rush. Whether breathing in the fresh morning air or enjoying the starlit night, our café is the perfect sanctuary for relaxation. We are open from 10 AM to 11 PM on weekdays and extend our hours until 2 AM on weekends, ensuring you can delight in our exquisite coffee and desserts anytime. Our interior blends natural elements with modern design, creating a cozy and inviting atmosphere. Mountain Coffee is your ideal haven whether you're seeking a quiet moment alone with a book or enjoying lively conversations with friends. Join us to experience a delightful retreat."
Tranquil Maokong: A Day of Nature Walks,Mr. Light 輕食先生,"No. 50, Sec. 1, Xinguang Road., Wenshan., Taipei City",https://example.com/nanchang_furniture.jpg,blue,"In 2020, Mr. Light was established on the NCCU campus, starting with delivery meal boxes. In August of the same year, the first store opened on Xingguang Road. We believe that healthy food can also be delicious, and we adhere to three core values: [fresh and healthy, convenient and fast, customer first.] Our goal is to bring a positive impact to Taiwan's food environment. If you also love a healthy lifestyle and support healthy eating, then you are a part of Mr. Light."
Tranquil Maokong: A Day of Nature Walks,小日子咖啡,"Lane 38, Section 3, Zhinan Road, Wenshan, Taipei City",https://example.com/nanchang_furniture.jpg,blue,"Tea, Coffee, and Dessert"
Passing Through the Time: An Exploration Journey of Taipei City,舞良麵,"No.3, Alley 5, Lane 70, Yanji Southreet, Da’an, Taipei City",https://example.com/nanchang_furniture.jpg,yellow,"Dancing Noodles was founded in the summer of 2014 in Toucheng Township, Yilan County, and relocated to eastern district of Taipei in 2021. Centered on the pursuit of innovation, uniqueness, and superior quality, the restaurant aims to expand the boundaries and imagination of noodles, creating delightful flavors. Each cold noodle dish features custom-made sauces inspired by different countries to enhance its distinctiveness. The ingredients are carefully selected based on the culinary traditions of each country. Instead of the usual oily noodles, ""Dancing Noodles"" uses Japanese somen and Italian capellini, which are then chilled, resulting in a refreshing, chewy, and smooth texture."
Passing Through the Time: An Exploration Journey of Taipei City,肉伯火雞肉飯,"No. 405, Sec. 4, Xinyi Road., Xinyi ., Taipei City",https://example.com/nanchang_furniture.jpg,yellow,"This is the branch store in Taipei that recommended by CNN as a must-eat. Turkey meat plus chicken oil gives sweet but not greasy taste. In addition to turkey rice, there are five types of side orders offered.  Braised dry fish with Chinese cabbage, the traditional Southern Taiwan cuisine, is the most popular one."
Passing Through the Time: An Exploration Journey of Taipei City,313 Café,"19-1, Section 2, Keelung Road, Xinyi , Taipei City",https://example.com/nanchang_furniture.jpg,yellow,"The promotion of coffee beans and award-winning ear-hanging bags is the main focus, supplemented by the freshly brewed coffee experience in the store; the brand name is simplified to ""313 Café"", and the mascot owl and magic elements are used to strengthen the brand identity and product packaging design; and emphasize It can convey the multi-layered coffee taste of sweet, sour, bitter and spicy, and is professional in helping customers taste coffee based on their emotional attitude, turning the store into a coffee version of  Midnight Diner."
