category,spotName,address,imageUrls,markerColor,description
紓壓放鬆輕旅行,水美食府,台北市北投區光明路224號,media/店家/01.水美食府/水美食府.jpg|media/店家/01.水美食府/水美食府排骨酥.jpg,purple,水美食府為水美溫泉會館餐廳，座落在北投公園旁，為新概念身心靈溫泉SPA空間，深雅恬淡原木色系陳設客房，抹去往來旅者奔騰的驛動；坐擁扶疏草木入懷，白磺暖泉拂去您一身疲憊，在乳玉色的美人湯中，品嚐北投往昔風華酒家菜美饌；佇足在此與山林對話，許繁忙的生活一個留白，濃縮在地最美的風景於此，請您細細品味！
紓壓放鬆輕旅行,北投齊雞,台北市北投區新市街71號,media/店家/02.北投齊雞/北投齊雞1.JPG|media/店家/02.北投齊雞/北投齊雞2.JPG,purple,北投齊雞的雞肉一律採用放山式的養殖，選擇較無污染，且水質及空氣好的花蓮及台東一帶，經由指定的品種與飼養方式，再由指定飼養雞場，加以嚴格執行及把關，使北投齊雞的雞肉，其肉質與鮮嫩度，都與市售的雞，截然不同，這是北投齊雞的特色，更是北投齊雞成功的要素之一。
紓壓放鬆輕旅行,鬍鬚張北投光明店,臺北市北投區光明路210號,media/店家/03.鬍鬚張北投光明店/鬍鬚張北投光明店1.jpg|media/店家/03.鬍鬚張北投光明店/鬍鬚張北投光明店2.jpg,purple,"「鬍鬚張魯肉飯」創立於1960年，秉持『傳統美食，追求幸福』的創業初衷，從路邊攤創起，以發揚台灣美食文化為職志，不斷的做中學，以品質、口味、服務、衛生為基礎，提供安全美味的產品，整潔親切的用餐環境與氛圍的餐廳。
　　鬍鬚張以「誠信篤實」、「追求卓越」、「顧客滿意」、「永續成長」為經營理念，以「以人為本」、「人才培育」、「賞罰分明」、「成果分享」為管理原則，並致力於『將魯肉飯販賣到全世界都知道』的企業願景實踐。"
紓壓放鬆輕旅行,少帥禪園,台北市北投區幽雅路34號,media/店家/04.少帥禪園/少帥禪園1.jpg|media/店家/04.少帥禪園/少帥禪園2.jpg,purple,台北北投張學良幽禁舊居，少帥禪園建於1920年代，原名「新高旅社」在北投溫泉區頗有盛名，曾被日軍當做神風特攻隊出戰前夕的慰安處所，1960年代，東北少帥張學良和其夫人趙一荻曾被幽居住於此。少帥禪園隱身在北投山腳邊的林蔭間，可以遠眺觀音山，關渡平原就像在眼前，來少帥禪園可以享美食、泡好湯、品好茶，會發現離台北的繁華不遠，但是可以擁抱的意與境是如此的近。  
走靜貓空，踏青一日遊,山上咖啡,台北市文山區指南路3段38巷33-7號一樓,media/店家/23.山上咖啡/山上咖啡1.jpeg|media/店家/23.山上咖啡/山上咖啡2.jpeg,blue,位於台北市貓空山上的山上咖啡，提供您一個遠離城市喧囂的寧靜角落。無論是晨間的清新空氣，還是夜晚的繁星點點，這裡都是您放鬆心靈的理想之地。我們的營業時間為平日早上10點至晚上11點，假日則延長至凌晨2點，讓您在任何時刻都能享受美味的咖啡與甜點。店內設計融合自然元素與現代風格，提供舒適的座位與溫馨的氛圍。無論是獨自一人享受閱讀時光，還是與朋友聚會聊天，山上咖啡都是您的最佳選擇。歡迎來到山上咖啡，體驗一段美好的時光。
走靜貓空，踏青一日遊,Mr. Light 輕食先生,台北市文山區新光路一段50號,media/店家/24.Mr. Light輕食先生/Mr. Light輕食先生1.jpg|media/店家/24.Mr. Light輕食先生/Mr. Light輕食先生2.jpg,blue,2020年，Mr. Light 輕食先生成立於政大校園，從外送餐盒起家，同年8月在新光路上開設第一間店。 我們相信健康的食物可以兼具美味，秉持著「新鮮健康、方便快速、顧客至上」三大價值，為台灣餐食環境帶來正向影響力。 如果你也熱愛健康生活，支持健康飲食，那你也是Mr. Light 輕食先生的一份子
走靜貓空，踏青一日遊,小日子咖啡,台北市文山區指南路三段38巷33號,media/店家/25.小日子咖啡/小日子咖啡1.jpg|media/店家/25.小日子咖啡/小日子咖啡2.jpg,blue,茶、咖啡、點心
穿越時光，探索台北城之旅,舞良麵,台北市大安區延吉街70巷5弄3號,media/店家/05.舞良麵/舞良麵1.jpg|media/店家/05.舞良麵/舞良麵2.jpg,yellow,"「舞良麵」在2014年夏天創立於宜蘭縣頭城鎮，2021年遷店至台北東區。以追求創新而獨特且優良品質為核心，擴大「麵」的界限及想像，舞出好滋味。
最初的開始，是由一對來自台北的情侶，當時相交5年的兩人不時思考人生下半場，一次友人介紹來到宜蘭頭城，初見龜山島及廣闊海岸線的美景衝擊心靈，直覺的明白島內移民人生即將展開。
 「舞良麵」的開始都未經精算。租到草創原址時快夏天，所以賣涼麵。因為省成本、求效率，所以壁面貼報紙，客用桌椅用學校淘汰的課桌椅，設備多數用二手品。也因為是這樣開始，店內使用漂流木、廢棄木棧板做佈置，營運上產生的廚餘做堆肥，供應二樓花臺造景植物的養分，來延續資源回收再利用的精神，環保議題亦是「舞良麵」重要的理念核心之一。
選擇以「涼麵」開始，是避免和在地店家做惡性競爭，在關係經營上會減少阻力外，也容易將獨特性凸顯出來。為了加強獨特性，便以各國特色為主，每款涼麵的醬汁皆量身訂做，食材配料考究自該國飲食習慣，並捨棄一般涼麵慣用的油麵，以「日本素麵」及「義大利細麵」取代再加以冰鎮，口感上顯得清涼爽口且Q彈滑溜。
「舞」的諧音和台語的有（ㄨ）為同音，意在傳達這裡有涼麵。此外，涼麵是大眾心目中強烈既定印象的平民小吃，而「舞」字形上是有質感的，代表「舞涼麵」能跳脫思維，賦予涼麵新生命和可能性。跳舞是開心、快樂的，就像最初創作出這些餐點或店內佈置的過程。更重要的，是「舞涼麵」由兩個人構成，雙人舞遠比單人舞來的精彩可期，缺一不可。
在宜蘭頭城開業的七年多，很幸運的受到不少人的喜愛，期間接受許多雜誌及電視媒體的採訪，「舞涼麵」在宜蘭也成為小有知名度的品牌。
2020年底決定遷店至台北東區"
穿越時光，探索台北城之旅,肉伯火雞肉飯,台北市信義區信義路四段405號,media/店家/06.肉伯火雞肉飯/肉伯火雞肉飯1.png|media/店家/06.肉伯火雞肉飯/肉伯火雞肉飯2.png,yellow,CNN推薦必吃台南在地美食台北分店，以每日現煮火雞肉搭配白飯淋上雞油高湯，香甜不油膩。除了正宗火雞肉飯，另有五種配湯，其中以扁魚白菜湯更是南部傳統古早味，最受喜愛。
穿越時光，探索台北城之旅,313 Café,台北市信義區基隆路二段19-1號,media/店家/07.313_Café/313_Café_1.JPG|media/店家/07.313_Café/313_Café_2.JPG,yellow,以咖啡豆與得獎之掛耳包推廣為主軸，店內現煮咖啡體驗為輔;並將品牌名稱簡化為「313 Café」，運用吉祥物貓頭鷹與魔法元素強化品牌識別與產品包裝設計;並強調可以傳達酸甜苦辣的多層次咖啡味覺，其以心情感度為客人拿捏好咖啡的品味專業，將店面營造成咖啡版的深夜食堂。
