編號,景點名稱,地址,網址,行政區
1,Taipei Sightseeing Bus,,https://www.taipeisightseeing.com.tw/
2,Lungshan Temple,10853台北市萬華區廣州街211號,https://www.travel.taipei/en/attraction/details/487,Wanhua District
3,Heritage and Culture Education Center of Taipei (the historic Bopiliao area ),108台北市萬華區康定路173巷,https://www.travel.taipei/en/attraction/details/506,Wanhua District
4,Bangka Old Street (Taipei First Street), 108台北市萬華區貴陽街二段,https://www.travel.taipei/en/attraction/details/3709,Wanhua District
5,Bangka Qingshan Temple, 108台北市萬華區康定路81號,https://www.travel.taipei/en/attraction/details/492,Wanhua District
6,BangKa Qingshui Temple,108台北市萬華區貴陽街二段218號,https://www.travel.taipei/en/attraction/details/493,Wanhua District
7,Tianhou Temple,10844台北市萬華區成都路51號,https://www.travel.taipei/en/attraction/details/489,Wanhua District
8,Ximending,108台北市萬華區漢中街127號,https://www.travel.taipei/en/attraction/details/1694,Wanhua District
9,Mengjia Garment Shopping Area,2FMX+PJC 富福里 台北市萬華區,https://www.travel.taipei/en/attraction/details/2163
10,Bangka Night Market shopping area（Guangzhou Street Tourist Night Market、Huaxi Street Tourist Night Market、Wuzhou Street Tourist Night Market）,108台北市萬華區華西街,https://www.travel.taipei/en/attraction/details/1687,Wanhua District
