編號,景點名稱,PlusCodes,網址
1,臺北市雙層觀光巴,,https://www.taipeisightseeing.com.tw/
2,松山文創園區,2HV6+G7 新仁里 台北市信義區,https://www.travel.taipei/zh-tw/attraction/details/229
3,台北大巨蛋,2HR5+XR 新仁里 台北市信義區,https://www.farglorydome.com.tw/
4,國立國父紀念館(正館修繕中),2HR6+23 興隆里 台北市信義區,https://www.yatsen.gov.tw/
5,信義商圈,2HP8+MRC 西村里 台北市信義區,https://www.travel.taipei/zh-tw/attraction/details/1573
6,信義公民會館暨眷村文化公園_四四南村,2HJ6+JQ 景新里 台北市信義區,https://www.travel.taipei/zh-tw/attraction/details/45
7,松山慈祐宮,3H2H+F3 慈祐里 台北市松山區,https://www.travel.taipei/zh-tw/attraction/details/71
8,彩虹河濱公園,3H5C+XW 內湖區 台北市,https://www.travel.taipei/zh-tw/attraction/details/1734
9,錫口(彩虹)碼頭,3H2G+JC2 慈祐里 台北市松山區,https://www.travel.taipei/zh-tw/attraction/details/214
10,饒河街觀光夜市,3H2G+9X 慈祐里 台北市松山區,https://www.travel.taipei/zh-tw/attraction/details/1538
