編號,景點名稱,PlusCodes,網址
1,Taipei Sightseeing Bus,,https://www.taipeisightseeing.com.tw/
2,Songshan Cultural and Creative Park,2HV6+G7 新仁里 台北市信義區,https://www.travel.taipei/en/attraction/details/586
3,Taipei Dome,2HR5+XR 新仁里 台北市信義區,https://www.farglorydome.com.tw/
4,National Sun Yat-sen Memorial Hall,2HR6+23 興隆里 台北市信義區,https://www.yatsen.gov.tw/en/
5,Xinyi Shopping District,2HP8+MRC 西村里 台北市信義區,https://www.travel.taipei/en/attraction/details/1695
6,Xinyi Assembly Hall, Taipei City,2HJ6+JQ 景新里 台北市信義區,https://www.travel.taipei/en/attraction/details/553
7,Songshan Ciyou Temple,3H2H+F3 慈祐里 台北市松山區,https://www.travel.taipei/en/attraction/details/490
8,Rainbow Riverside Park,3H5C+XW 內湖區 台北市,https://www.travel.taipei/en/attraction/details/2013
9,Xikou (Rainbow) Wharf,3H2G+JC2 慈祐里 台北市松山區,https://www.travel.taipei/en/attraction/details/549
10,Raohe Street Tourist Night Market,3H2G+9X 慈祐里 台北市松山區,https://www.travel.taipei/en/attraction/details/1691
